libbluetooth3:amd64	5.72-0ubuntu5.5
libbluray2:amd64	1:1.3.4-1build1
libboost-chrono1.83.0t64:amd64	1.83.0-2.1ubuntu3
libboost-filesystem1.83.0:amd64	1.83.0-2.1ubuntu3
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-program-options1.83.0:amd64	1.83.0-2.1ubuntu3
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libbpf1:amd64	1:1.3.0-2build2
libbpfcc:amd64	0.29.1+ds-1ubuntu7
libbrlapi0.8:amd64	6.6-4ubuntu5
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd0:amd64	0.12.1-1build1.1
libburn4t64:amd64	1.5.6-1.1build1
libbytesize-common	2.10-1ubuntu2
libbytesize1:amd64	2.10-1ubuntu2
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc-devtools	2.39-0ubuntu8.7
libc6:amd64	2.39-0ubuntu8.7
libc6-dbg:amd64	2.39-0ubuntu8.7
libc6-dev:amd64	2.39-0ubuntu8.7
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairomm-1.0-1v5:amd64	1.14.5-1build1
libcairomm-1.16-1:amd64	1.18.0-1build1
libcamel-1.2-64t64:amd64	3.52.3-0ubuntu1.2
libcamera0.2:amd64	0.2.0-3fakesync1build6
libcanberra-gtk3-0t64:amd64	0.30-10ubuntu10
libcanberra-gtk3-module:amd64	0.30-10ubuntu10
libcanberra-pulse:amd64	0.30-10ubuntu10
libcanberra0t64:amd64	0.30-10ubuntu10
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcares2:amd64	1.27.0-1.0ubuntu1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcddb2	1.3.2-7fakesync1build1
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libchewing3:amd64	0.6.0-1build1
libchewing3-data	0.6.0-1build1
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclone-perl:amd64	0.46-1build3
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64:amd64	2.3.3.4+dfsg-1.2ubuntu2
libcodec2-1.2:amd64	1.2.0-2build1
libcollection4t64:amd64	0.6.2-2.1build1
libcolorcorrect5	4:5.27.11-0ubuntu4.1
libcolord-gtk4-1t64:amd64	0.3.1-1build2
libcolord2:amd64	1.4.7-1build2
libcolorhug2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrack2:amd64	2.9.6-5.1build2
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcue2:amd64	2.2.1-4.1build1
libcups2t64:amd64	2.4.7-1.2ubuntu7.14
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64:amd64	2.0.0-0ubuntu7.2
libcupsimage2t64:amd64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.10
libcurl4t64:amd64	8.5.0-2ubuntu10.10
libdaemon0:amd64	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdatrie1:amd64	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-qt5-2:amd64	0.9.3+16.04.20160218-2build3
libdc1394-25:amd64	2.2.6-4build1
libdca0:amd64	0.0.7-2build1
libdconf1:amd64	0.40.0-4ubuntu0.1
libde265-0:amd64	1.0.15-1build3
libdebconfclient0:amd64	0.271ubuntu3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libdecor-0-0:amd64	0.2.2-1build2
libdecor-0-plugin-1-gtk:amd64	0.2.2-1build2
libdee-1.0-4:amd64	1.2.7+17.10.20170616-7build5
libdeflate0:amd64	1.19-1build1.1
libdevmapper-event1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdhash1t64:amd64	0.6.2-2.1build1
libdigest-bubblebabble-perl	0.02-2.1
libdigest-hmac-perl	1.04+dfsg-2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21:amd64	3.5.28-2ubuntu0.24.04.2
libdmtx0t64:amd64	0.7.7-1.2build1
libdolphinvcs5:amd64	4:23.08.5-0ubuntu4
libdotconf0:amd64	1.3-0.3fakesync1build3
libdouble-conversion3:amd64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1
libdvbpsi10:amd64	1.3.3-1build1
libdvdnav4:amd64	6.1.1-3build1
libdvdread8t64:amd64	6.1.3-1.1build1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libeatmydata1:amd64	131-1ubuntu1
libebackend-1.2-11t64:amd64	3.52.3-0ubuntu1.2
libebml5:amd64	1.4.5-1
libebook-1.2-21t64:amd64	3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libecal-2.0-3:amd64	3.52.3-0ubuntu1.2
libedata-book-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64:amd64	3.52.3-0ubuntu1.2
libedataserver-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libedit2:amd64	3.1-20230828-1build1
libeditorconfig0:amd64	0.12.7-0.1ubuntu0.1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libei1:amd64	1.2.1-1
libeis1:amd64	1.2.1-1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2
libencode-locale-perl	1.05-3
libeot0:amd64	0.01-5build3
libepoxy0:amd64	1.5.10-1build1
libepub0	0.2.2-6build2
liberror-perl	0.17029-2
libespeak-ng1:amd64	1.51+dfsg-12build1
libestr0:amd64	0.1.11-1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevdocument3-4t64:amd64	46.3.1-0ubuntu1.1
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevview3-3t64:amd64	46.3.1-0ubuntu1.1
libexempi8:amd64	2.6.5-1build1
libexif12:amd64	0.6.24-1build2
libexiv2-27:amd64	0.27.6-1ubuntu0.3
libexo-2-0:amd64	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0:amd64	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libextutils-depends-perl	0.8001-2
libfaad2:amd64	2.11.1-1build1
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfcitx-config4:amd64	1:4.2.9.9-2build2
libfcitx-gclient1:amd64	1:4.2.9.9-2build2
libfcitx-utils0:amd64	1:4.2.9.9-2build2
libfdisk1:amd64	2.39.3-9ubuntu6.5
libffi8:amd64	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libfile-readbackwards-perl	1.06-2
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflashrom1:amd64	1.3.0-2.1ubuntu2
libflite1:amd64	2.2-6build3
libfmt9:amd64	9.1.0+ds1-2
libfont-afm-perl	1.20-4
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.6
libfprint-2-tod1:amd64	1:1.94.7+tod1-0ubuntu5~24.04.6
libfreeaptx0:amd64	0.1.1-2build1
libfreerdp-client3-3:amd64	3.5.1+dfsg1-0ubuntu1.6
libfreerdp-server3-3:amd64	3.5.1+dfsg1-0ubuntu1.6
libfreerdp3-3:amd64	3.5.1+dfsg1-0ubuntu1.6
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.13-3build1
libftdi1-2:amd64	1.5-6build5
libfuse2t64:amd64	2.9.9-8.1build1
libfuse3-3:amd64	3.14.0-5build1
libfwupd2:amd64	1.9.34-0ubuntu1~24.04.1
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgamemode0:amd64	1.8.1-2build1
libgamemodeauto0:amd64	1.8.1-2build1
libgarcon-1-0:amd64	4.18.1-1build3
libgarcon-common	4.18.1-1build3
libgarcon-gtk3-1-0:amd64	4.18.1-1build3
libgav1-1:amd64	0.18.0-1build3
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgck-1-0:amd64	3.41.2-1build3
libgck-2-2:amd64	4.2.0-5
libgcr-4-4:amd64	4.2.0-5
libgcr-base-3-1:amd64	3.41.2-1build3
libgcr-ui-3-1:amd64	3.41.2-1build3
libgcrypt20:amd64	1.10.3-2ubuntu0.1
libgd3:amd64	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22:amd64	0.18.1-6build2
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgdm1	46.2-1ubuntu1~24.04.7
libgee-0.8-2:amd64	0.20.6-1build2
libgeoclue-2-0:amd64	2.7.0-3ubuntu7
libgeocode-glib-2-0:amd64	3.26.3-6build3
libgexiv2-2:amd64	0.14.2-2build3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgif7:amd64	5.2.2-1ubuntu1
libgirepository-1.0-1:amd64	1.80.1-1
libgit2-1.7:amd64	1.7.2+ds-1ubuntu3
libgjs0g:amd64	1.80.2-1build2
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libgles2:amd64	1.7.0-1build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl:amd64	3:1.329.3-3build3
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64:amd64	2.66.7-1build1
libglibmm-2.68-1t64:amd64	2.78.1-2.2build2
libglu1-mesa:amd64	9.0.2-1.1build1
libglvnd0:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnome-autoar-0-0:amd64	0.4.4-2build4
libgnome-bg-4-2t64:amd64	44.0-5build2
libgnome-bluetooth-3.0-13:amd64	46.0-1ubuntu1
libgnome-bluetooth-ui-3.0-13:amd64	46.0-1ubuntu1
libgnome-desktop-3-20t64:amd64	44.0-5build2
libgnome-desktop-4-2t64:amd64	44.0-5build2
libgnome-menu-3-0:amd64	3.36.0-1.1ubuntu3
libgnome-panel3:amd64	1:3.52.0-1ubuntu2
libgnome-rr-4-2t64:amd64	44.0-5build2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:amd64	3.28.1-1build3
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgoa-1.0-0b:amd64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2:amd64	3.50.4-0ubuntu2
libgom-1.0-0t64:amd64	0.5.0-1
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0:amd64	1.47-3build2.1
libgpgme11t64:amd64	1.18.0-4.1ubuntu4
libgpgmepp6t64:amd64	1.18.0-4.1ubuntu4
libgphoto2-6t64:amd64	2.5.31-2.1ubuntu1
libgphoto2-l10n	2.5.31-2.1ubuntu1
libgphoto2-port12t64:amd64	2.5.31-2.1ubuntu1
libgpm2:amd64	1.20.7-11
libgprofng0:amd64	2.42-4ubuntu2.10
libgps30t64:amd64	3.25-3ubuntu3.2
libgranite-7-7:amd64	7.4.0-1build3
libgranite-7-common	7.4.0-1build3
libgrantlee-templates5:amd64	5.3.1-3build2
libgraphene-1.0-0:amd64	1.10.8-3build2
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgrilo-0.3-0:amd64	0.3.16-1build3
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:amd64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsasl18:amd64	2.2.1-1willsync1ubuntu0.1
libgsettings-qt1:amd64	0.2-5build3
libgsf-1-114:amd64	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsm1:amd64	1.0.22-1build1
libgsound0t64:amd64	1.0.3-3.2build2
libgspell-1-2:amd64	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.6
libgssdp-1.6-0:amd64	1.6.3-1build3
libgssglue1:amd64	0.9-1build1
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-bad1.0-0:amd64	1.24.2-1ubuntu4
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.4
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1:amd64	4.14.5+ds-0ubuntu0.9
libgtk-4-bin	4.14.5+ds-0ubuntu0.9
libgtk-4-common	4.14.5+ds-0ubuntu0.9
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.9
libgtk-layer-shell0	0.8.2-1build2
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-perl	0.038-3
libgtkmm-3.0-1t64:amd64	3.24.9-1
libgtkmm-4.0-0:amd64	4.10.0-4build3
libgtksourceview-4-0:amd64	4.8.4-5build4
libgtksourceview-4-common	4.8.4-5build4
libgtksourceview-5-0:amd64	5.12.0-1build1
libgtksourceview-5-common	5.12.0-1build1
libgtop-2.0-11:amd64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgupnp-1.6-0:amd64	1.6.6-1build3
libgupnp-av-1.0-3:amd64	0.14.1-2build2
libgupnp-dlna-2.0-4:amd64	0.12.0-4build2
libgupnp-igd-1.6-0:amd64	1.6.0-3build3
libgusb2:amd64	0.4.8-1build2
libgweather-4-0t64:amd64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64:amd64	0.3.2-4build3
libhandy-1-0:amd64	1.8.3-1build2
libharfbuzz-gobject0:amd64	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2
libharfbuzz-subset0:amd64	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.4
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.4
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.4
libheif-plugin-x265:amd64	1.17.6-1ubuntu4.4
libheif1:amd64	1.17.6-1ubuntu4.4
libhfstospell11:amd64	0.5.4-1build3
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhpmud0:amd64	3.23.12+dfsg0-0ubuntu5.1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhttp-parser2.9:amd64	2.9.4-6build1
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libibus-1.0-5:amd64	1.5.29-2
libibverbs1:amd64	50.0-2ubuntu0.2
libical3t64:amd64	3.0.17-1.1build3
libice6:amd64	2:1.0.10-1build3
libicu74:amd64	74.2-1ubuntu3.1
libidn12:amd64	1.42-1build1
libidn2-0:amd64	2.3.7-2build1.1
libido3-0.1-0:amd64	13.10.0+22.10.20221007-0ubuntu3
libiec61883-0:amd64	1.2.0-6build1
libieee1284-3t64:amd64	0.2.11-14.1build1
libigdgmm12:amd64	22.3.17+ds1-1ubuntu1
libijs-0.35:amd64	0.35-15.1build1
libimagequant0:amd64	2.18.0-1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimobiledevice6:amd64	1.3.0-8.1build3
libindicator3-7	16.10.0+18.04.20180321.1-0ubuntu8
libini-config5t64:amd64	0.6.2-2.1build1
libinih1:amd64	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.3
libinput10:amd64	1.25.0-1ubuntu3.3
libio-html-perl	1.004-3
libio-socket-inet6-perl	2.73-1
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2:amd64	1.8.10-3ubuntu2
libip6tc2:amd64	1.8.10-3ubuntu2
libipa-hbac0t64	2.9.4-1.1ubuntu6.5
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libisl23:amd64	0.26-3build1.1
libisoburn1t64:amd64	1:1.5.6-1.1ubuntu3
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu2
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libiw30t64:amd64	30~pre9-16.1ubuntu2
libixml11t64:amd64	1:1.14.18-1.1ubuntu2
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.52.3-0ubuntu0.24.04.1
libjavascriptcoregtk-6.0-1:amd64	2.52.3-0ubuntu0.24.04.1
libjbig0:amd64	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1build3
libjcat1:amd64	0.2.0-2build3
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjq1:amd64	1.7.1-3ubuntu0.24.04.2
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjs-util	0.12.5+~1.0.10-1
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libk5crypto3:amd64	1.20.1-6ubuntu2.6
libkaccounts2:amd64	4:23.08.5-0ubuntu4
libkate1:amd64	0.4.1-11build2
libkdecorations2-5v5:amd64	4:5.27.11-0ubuntu2
libkdecorations2private10:amd64	4:5.27.11-0ubuntu2
libkdsoap1:amd64	1.9.1+dfsg-5ubuntu3
libkeybinder-3.0-0:amd64	0.3.2-1.1build2
libkeyutils1:amd64	1.6.3-3build1
libkf5activities5:amd64	5.115.0-0ubuntu3
libkf5activitiesstats1:amd64	5.115.0-0ubuntu5
libkf5archive-data	5.115.0-0ubuntu5
libkf5archive5:amd64	5.115.0-0ubuntu5
libkf5attica5:amd64	5.115.0-0ubuntu5
libkf5auth-data	5.115.0-0ubuntu5
libkf5auth5:amd64	5.115.0-0ubuntu5
libkf5authcore5:amd64	5.115.0-0ubuntu5
libkf5baloo5	5.115.0-0ubuntu5
libkf5balooengine5	5.115.0-0ubuntu5
libkf5baloowidgets-bin	4:23.08.5-0ubuntu3
libkf5baloowidgets5:amd64	4:23.08.5-0ubuntu3
libkf5bluezqt-data	5.115.0-0ubuntu6
libkf5bluezqt6:amd64	5.115.0-0ubuntu6
libkf5bookmarks-data	5.115.0-0ubuntu5
libkf5bookmarks5:amd64	5.115.0-0ubuntu5
libkf5calendarevents5:amd64	5.115.0-0ubuntu5
libkf5codecs-data	5.115.0-0ubuntu5
libkf5codecs5:amd64	5.115.0-0ubuntu5
libkf5completion-data	5.115.0-0ubuntu5
libkf5completion5:amd64	5.115.0-0ubuntu5
libkf5config-bin	5.115.0-0ubuntu5
libkf5config-data	5.115.0-0ubuntu5
libkf5configcore5:amd64	5.115.0-0ubuntu5
libkf5configgui5:amd64	5.115.0-0ubuntu5
libkf5configqml5:amd64	5.115.0-0ubuntu5
libkf5configwidgets-data	5.115.0-0ubuntu5
libkf5configwidgets5:amd64	5.115.0-0ubuntu5
libkf5coreaddons-data	5.115.0-0ubuntu5
libkf5coreaddons5:amd64	5.115.0-0ubuntu5
libkf5crash5:amd64	5.115.0-0ubuntu5
libkf5dbusaddons-bin	5.115.0-0ubuntu5
libkf5dbusaddons-data	5.115.0-0ubuntu5
libkf5dbusaddons5:amd64	5.115.0-0ubuntu5
libkf5declarative-data	5.115.0-0ubuntu5
libkf5declarative5:amd64	5.115.0-0ubuntu5
libkf5dnssd-data	5.115.0-0ubuntu3
libkf5dnssd5:amd64	5.115.0-0ubuntu3
libkf5doctools5:amd64	5.115.0-0ubuntu5
libkf5filemetadata-bin:amd64	5.115.0-0ubuntu4
libkf5filemetadata-data	5.115.0-0ubuntu4
libkf5filemetadata3:amd64	5.115.0-0ubuntu4
libkf5globalaccel-bin	5.115.0-0ubuntu5
libkf5globalaccel-data	5.115.0-0ubuntu5
libkf5globalaccel5:amd64	5.115.0-0ubuntu5
libkf5globalaccelprivate5:amd64	5.115.0-0ubuntu5
libkf5guiaddons-bin	5.115.0-0ubuntu5
libkf5guiaddons-data	5.115.0-0ubuntu5
libkf5guiaddons5:amd64	5.115.0-0ubuntu5
libkf5holidays-data	1:5.115.0-0ubuntu5
libkf5holidays5:amd64	1:5.115.0-0ubuntu5
libkf5i18n-data	5.115.0-0ubuntu6
libkf5i18n5:amd64	5.115.0-0ubuntu6
libkf5iconthemes-bin	5.115.0-0ubuntu6
libkf5iconthemes-data	5.115.0-0ubuntu6
libkf5iconthemes5:amd64	5.115.0-0ubuntu6
libkf5idletime5:amd64	5.115.0-0ubuntu5
libkf5itemmodels5:amd64	5.115.0-0ubuntu5
libkf5itemviews-data	5.115.0-0ubuntu5
libkf5itemviews5:amd64	5.115.0-0ubuntu5
libkf5jobwidgets-data	5.115.0-0ubuntu5
libkf5jobwidgets5:amd64	5.115.0-0ubuntu5
libkf5js5t64:amd64	5.115.0-0ubuntu8
libkf5kcmutils-data	5.115.0-0ubuntu5
libkf5kcmutils5:amd64	5.115.0-0ubuntu5
libkf5kcmutilscore5:amd64	5.115.0-0ubuntu5
libkf5kdcraw5:amd64	23.08.5-0ubuntu3
libkf5kdelibs4support-data	5.115.0-0ubuntu6
libkf5kdelibs4support5:amd64	5.115.0-0ubuntu6
libkf5kdelibs4support5-bin	5.115.0-0ubuntu6
libkf5kexiv2-15.0.0:amd64	23.08.5-0ubuntu3
libkf5khtml-bin	5.115.0-0ubuntu7
libkf5khtml-data	5.115.0-0ubuntu7
libkf5khtml5:amd64	5.115.0-0ubuntu7
libkf5kiocore5:amd64	5.115.0-0ubuntu6
libkf5kiofilewidgets5:amd64	5.115.0-0ubuntu6
libkf5kiogui5:amd64	5.115.0-0ubuntu6
libkf5kiontlm5:amd64	5.115.0-0ubuntu6
libkf5kiowidgets5:amd64	5.115.0-0ubuntu6
libkf5kirigami2-5	5.115.0-0ubuntu6
libkf5modemmanagerqt6:amd64	5.115.0-0ubuntu4
libkf5networkmanagerqt6	5.115.0-0ubuntu4
libkf5newstuff-data	5.115.0-0ubuntu5
libkf5newstuff5:amd64	5.115.0-0ubuntu5
libkf5newstuffcore5:amd64	5.115.0-0ubuntu5
libkf5newstuffwidgets5:amd64	5.115.0-0ubuntu5
libkf5notifications-data	5.115.0-0ubuntu6
libkf5notifications5:amd64	5.115.0-0ubuntu6
libkf5notifyconfig-data	5.115.0-0ubuntu6
libkf5notifyconfig5:amd64	5.115.0-0ubuntu6
libkf5package-data	5.115.0-0ubuntu5
libkf5package5:amd64	5.115.0-0ubuntu5
libkf5parts-data	5.115.0-0ubuntu5
libkf5parts-plugins:amd64	5.115.0-0ubuntu5
libkf5parts5:amd64	5.115.0-0ubuntu5
libkf5people-data	5.115.0-0ubuntu4
libkf5people5:amd64	5.115.0-0ubuntu4
libkf5peoplebackend5:amd64	5.115.0-0ubuntu4
libkf5peoplewidgets5:amd64	5.115.0-0ubuntu4
libkf5plasma5:amd64	5.115.0-0ubuntu4
libkf5plasmaquick5:amd64	5.115.0-0ubuntu4
libkf5prison5:amd64	5.115.0-0ubuntu5
libkf5pty-data	5.115.0-0ubuntu4
libkf5pty5:amd64	5.115.0-0ubuntu4
libkf5purpose-bin:amd64	5.115.0-0ubuntu4
libkf5purpose5:amd64	5.115.0-0ubuntu4
